date,price,signal,returns,strategy_returns,equity_curve
2024-10-01,1726.2,1,-0.0033775006495192494,-0.001,1.2375813280572314
2024-10-03,1682.0,0,-0.025605375970339517,-0.05656134857867923,1.1675820591665216
2024-10-04,1657.65,1,-0.014476813317479187,-0.001,1.166414477107355
2024-10-07,1617.8,0,-0.024040056706783774,-0.08025337686122158,1.0728057764996737
2024-10-08,1651.05,0,0.02055260229941891,-0.0,1.0728057764996737
2024-10-09,1633.15,1,-0.01084158565761173,-0.001,1.071732970723174
2024-10-10,1662.4,0,0.017910173590913292,-0.01189567979154249,1.0589839784814126
2024-10-11,1651.0,1,-0.006857555341674759,-0.001,1.0579249945029312
2024-10-14,1688.1,0,0.022471229557843753,0.042234864448889464,1.1026063132428547
2024-10-15,1684.1,1,-0.0023695278715716306,-0.001,1.1015037069296119
2024-10-16,1699.8,1,0.009322486788195583,0.04047680672370624,1.1460890595804478
2024-10-17,1673.15,1,-0.01567831509589357,0.006888318036899377,1.153983685521449
2024-10-18,1681.85,0,0.005199772883483167,0.017945646262057302,1.174692668534002
2024-10-21,1728.7,1,0.027856229747004857,-0.001,1.173517975865468
2024-10-22,1714.55,0,-0.00818534158616302,0.017514832736627017,1.1940719469261767
2024-10-23,1735.8,1,0.012393922603598506,-0.001,1.1928778749792506
2024-10-24,1749.65,1,0.007979029842147822,0.04524361349007133,1.2468479804956694
2024-10-25,1743.4,0,-0.003572143000028616,0.03547169760655955,1.291075795021161
2024-10-28,1734.2,0,-0.005277044854881341,0.0,1.291075795021161
2024-10-29,1751.85,0,0.010177603505939326,0.0,1.291075795021161
2024-10-30,1734.6,1,-0.009846733453206635,-0.001,1.28978471922614
2024-10-31,1735.7,1,0.0006341519658712436,-0.007884165836306023,1.2796158426066278
2024-11-01,1737.3,0,0.0009218182865702307,-0.0043902045497071765,1.2739980673125388
2024-11-04,1714.1,1,-0.013354055143038113,-0.001,1.2727240692452264
2024-11-05,1757.85,1,0.025523598389825652,0.0038787800460223787,1.277660685969107
2024-11-06,1755.25,1,-0.001479079557413887,0.012246433941815127,1.293307473159882
2024-11-07,1746.55,1,-0.004956558894744334,0.006655723081199549,1.3019153695600802
2024-11-08,1754.45,1,0.0045232028856889706,0.01025710768031829,1.3152692556963193
2024-11-11,1766.3,1,0.006754253469748228,0.03036541629310463,1.35520795418306
2024-11-12,1718.2,0,-0.02723206703278036,-0.023390249129501384,1.3235093025124363
2024-11-13,1681.35,0,-0.021446862996158833,-0.0,1.3235093025124363
2024-11-14,1692.75,1,0.0067802658577929,-0.001,1.322185793209924
2024-11-18,1705.1,1,0.007295820410574416,-0.02784859029082365,1.2853647827664731
2024-11-19,1742.25,1,0.021787578441147204,-0.012815265319424674,1.2688924920430762
2024-11-21,1741.2,1,-0.0006026689625483472,0.01381413275080734,1.2864211413746618
2024-11-22,1745.6,0,0.0025269928784745765,0.03678798862544075,1.3337459876910793
2024-11-25,1785.6,1,0.0229147571035746,-0.001,1.3324122417033883
2024-11-26,1785.55,1,-2.800179211470688e-05,0.04659865766853333,1.3945008636278877
2024-11-27,1812.3,1,0.01498137828680246,0.039792457514188584,1.4499914799972997
2024-11-28,1793.15,1,-0.010566683220217366,0.029828443256519566,1.493242468580836
2024-11-29,1796.05,1,0.0016172657056017226,0.02891871608364671,1.536425123573769
2024-12-02,1804.7,1,0.00481612427270961,0.01082008325278172,1.5530493713225026
2024-12-03,1826.3,0,0.011968748268410101,0.021816833313306527,1.5869319905839814
2024-12-04,1860.1,0,0.0185073646169851,0.0,1.5869319905839814
2024-12-05,1865.75,1,0.0030374711037042257,-0.001,1.5853450585933975
2024-12-06,1855.85,1,-0.005306177140560142,0.033023531121248895,1.6376987504737746
2024-12-09,1870.0,1,0.007624538621117116,0.0358319454696564,1.6963806827964751
2024-12-10,1868.1,1,-0.0010160427807487382,0.022847154420497562,1.7351381542122752
2024-12-11,1863.1,0,-0.0026765162464535974,0.0006632735570588641,1.7362890254678083
2024-12-12,1859.25,0,-0.0020664483924641708,-0.0,1.7362890254678083
2024-12-13,1871.75,1,0.006723141051499182,-0.001,1.7345527364423405
2024-12-16,1865.2,0,-0.0034993989581941776,-0.003535265326361502,1.7284206322964504
2024-12-17,1833.25,0,-0.017129530345271315,-0.0,1.7284206322964504
2024-12-18,1810.7,0,-0.01230055911632344,-0.0,1.7284206322964504
2024-12-19,1793.5,0,-0.009499088750207108,-0.0,1.7284206322964504
2024-12-20,1771.5,0,-0.012266517981600278,-0.0,1.7284206322964504
2024-12-23,1801.0,1,0.01665255433248669,-0.001,1.7266922116641539
2024-12-24,1798.1,1,-0.0016102165463631746,-0.01902382806200731,1.693843915913448
2024-12-26,1790.75,1,-0.00408764807296591,-0.01081091701864978,1.675531909895963
2024-12-27,1798.25,1,0.004188189306156609,0.002876361037713937,1.6803513445990343
2024-12-30,1777.9,1,-0.011316557764493251,0.0038263212548209635,1.6867809086644407
2024-12-31,1772.85,1,-0.0028404297204568385,-0.015666662798122566,1.6603546809540841
2025-01-02,1793.75,1,0.011788927433229013,-0.0022675188185303785,1.6565897954695856
2025-01-03,1749.2,0,-0.024836236933797884,-0.024016107679362353,1.6168049565610552
2025-01-06,1710.5,0,-0.022124399725588884,-0.0,1.6168049565610552
2025-01-07,1713.4,0,0.0016954106986262207,-0.0,1.6168049565610552
2025-01-08,1694.3,1,-0.011147426170188046,-0.001,1.6151881516044941
2025-01-09,1667.8,1,-0.01564067756595644,-0.07205332969690503,1.4988084671944009
2025-01-10,1656.75,1,-0.006625494663628717,-0.053842587426735866,1.4181087412635545
2025-01-13,1630.85,1,-0.015633016447864856,-0.04735120414901184,1.3509595847504856
2025-01-14,1646.6,1,0.009657540546340826,-0.03938907430129723,1.2977465372886992
2025-01-15,1643.05,1,-0.0021559577310822364,-0.030397605862191424,1.2582981495391736
