DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
09-Apr-19,EQ,"1,328.90","1,340.70","1,321.00","1,329.25","1,338.00","1,334.45","1,330.46","1,406.80",906.6,9497621,"12,63,61,59,790.65",202524
10-Apr-19,EQ,"1,337.95","1,348.00","1,326.50","1,334.45","1,331.00","1,331.40","1,337.99","1,406.80",906.6,7612711,"10,18,57,30,758.10",152322
11-Apr-19,EQ,"1,332.95","1,353.00","1,329.00","1,331.40","1,350.00","1,346.80","1,338.41","1,406.80",906.6,5741333,"7,68,42,65,511.95",139852
12-Apr-19,EQ,"1,350.00","1,356.90","1,336.65","1,346.80","1,340.00","1,343.10","1,346.08","1,406.80",906.6,5919742,"7,96,84,61,250.85",147697
15-Apr-19,EQ,"1,345.00","1,348.95","1,335.00","1,343.10","1,339.00","1,340.15","1,341.32","1,406.80",906.6,4245127,"5,69,40,89,311.50",90689
16-Apr-19,EQ,"1,345.00","1,360.00","1,340.00","1,340.15","1,345.00","1,343.75","1,349.70","1,406.80",906.6,7936553,"10,71,19,81,439.80",199659
18-Apr-19,EQ,"1,375.00","1,389.75","1,365.00","1,343.75","1,386.05","1,385.95","1,379.51","1,406.80",906.6,17960482,"24,77,66,45,489.80",337505
22-Apr-19,EQ,"1,360.00","1,367.00","1,341.30","1,385.95","1,344.00","1,345.35","1,353.82","1,406.80",906.6,10792748,"14,61,14,22,110.90",289829
23-Apr-19,EQ,"1,348.00","1,373.00","1,346.00","1,345.35","1,364.65","1,363.85","1,362.98","1,406.80",906.6,9055300,"12,34,22,30,169.05",183025
24-Apr-19,EQ,"1,370.30","1,394.80","1,366.25","1,363.85","1,389.50","1,389.50","1,379.35","1,406.80",906.6,7360887,"10,15,32,25,468.10",182147
25-Apr-19,EQ,"1,389.10","1,412.40","1,362.60","1,389.50","1,370.00","1,372.40","1,391.77","1,412.40",906.6,13929820,"19,38,71,22,709.60",275583
26-Apr-19,EQ,"1,375.00","1,395.95","1,370.70","1,372.40","1,392.00","1,392.80","1,383.98","1,412.40",906.6,6889444,"9,53,48,54,405.80",160625
30-Apr-19,EQ,"1,396.40","1,396.40","1,366.80","1,392.80","1,392.45","1,392.80","1,384.81","1,412.40",906.6,10217019,"14,14,85,87,974.70",210909
02-May-19,EQ,"1,392.00","1,413.90","1,382.10","1,392.80","1,403.10","1,405.05","1,402.33","1,413.90",906.6,8682505,"12,17,57,59,293.55",203263
03-May-19,EQ,"1,407.95","1,417.50","1,402.65","1,405.05","1,409.90","1,408.85","1,412.19","1,417.50",906.6,6510169,"9,19,36,24,810.45",174995
06-May-19,EQ,"1,398.00","1,402.80","1,378.10","1,408.85","1,382.95","1,384.90","1,392.39","1,417.50",906.6,7237910,"10,07,80,24,781.25",151864
07-May-19,EQ,"1,394.80","1,395.00","1,340.20","1,384.90","1,341.00","1,343.50","1,361.64","1,417.50",906.6,8877095,"12,08,73,93,002.15",214252
08-May-19,EQ,"1,340.00","1,340.00","1,292.20","1,343.50","1,297.75","1,299.45","1,313.10","1,417.50",906.6,14610543,"19,18,51,03,691.60",354813
09-May-19,EQ,"1,288.80","1,288.80","1,251.75","1,299.45","1,253.15","1,256.45","1,265.10","1,417.50",906.6,19507368,"24,67,87,59,801.85",389079
10-May-19,EQ,"1,265.00","1,277.70","1,245.00","1,256.45","1,245.75","1,251.15","1,263.56","1,417.50",906.6,11226831,"14,18,57,72,328.95",231193
13-May-19,EQ,"1,247.90","1,260.80","1,227.50","1,251.15","1,229.90","1,232.05","1,246.96","1,417.50",906.6,8047801,"10,03,52,48,862.80",165987
14-May-19,EQ,"1,236.50","1,269.35","1,231.50","1,232.05","1,267.00","1,260.45","1,252.66","1,417.50",906.6,13001004,"16,28,58,00,116.85",237275
15-May-19,EQ,"1,273.00","1,278.00","1,250.60","1,260.45","1,256.00","1,256.90","1,269.53","1,417.50",906.6,11163801,"14,17,27,62,818.10",199165
16-May-19,EQ,"1,259.95","1,271.90","1,258.10","1,256.90","1,269.20","1,265.35","1,264.70","1,417.50",906.6,6606652,"8,35,54,21,932.95",165495
17-May-19,EQ,"1,267.00","1,276.95","1,252.00","1,265.35","1,269.00","1,267.40","1,268.85","1,417.50",906.6,7898440,"10,02,19,20,300.90",153297
20-May-19,EQ,"1,313.60","1,337.70","1,303.50","1,267.40","1,328.55","1,325.90","1,319.23","1,417.50",906.6,12333937,"16,27,13,03,255.20",291230
21-May-19,EQ,"1,332.20","1,367.00","1,330.05","1,325.90","1,339.90","1,339.80","1,348.00","1,417.50",906.6,13872055,"18,69,95,17,120.10",294207
22-May-19,EQ,"1,345.65","1,359.70","1,335.10","1,339.80","1,344.00","1,340.40","1,345.18","1,417.50",906.6,11287400,"15,18,36,04,296.75",210505
23-May-19,EQ,"1,372.00","1,392.00","1,325.00","1,340.40","1,336.00","1,333.90","1,364.45","1,417.50",906.6,17722514,"24,18,14,12,649.75",328622
24-May-19,EQ,"1,348.00","1,353.80","1,316.50","1,333.90","1,338.00","1,336.85","1,334.73","1,417.50",906.6,10180759,"13,58,85,48,475.00",237096
27-May-19,EQ,"1,337.10","1,337.50","1,307.00","1,336.85","1,313.20","1,310.65","1,322.83","1,417.50",906.6,7349720,"9,72,24,42,982.45",161412
28-May-19,EQ,"1,319.80","1,334.80","1,313.35","1,310.65","1,330.00","1,323.75","1,323.88","1,417.50",906.6,19472659,"25,77,95,60,282.20",327818
29-May-19,EQ,"1,321.00","1,333.30","1,304.15","1,323.75","1,315.60","1,313.05","1,321.09","1,417.50",906.6,7112830,"9,39,66,55,635.10",183211
30-May-19,EQ,"1,316.25","1,342.00","1,316.25","1,313.05","1,330.00","1,329.75","1,329.55","1,417.50",906.6,10740841,"14,28,04,55,587.50",198892
31-May-19,EQ,"1,337.90","1,341.90","1,320.20","1,329.75","1,330.10","1,330.15","1,330.68","1,417.50",906.6,11760178,"15,64,90,85,825.90",203751
03-Jun-19,EQ,"1,335.00","1,367.25","1,321.20","1,330.15","1,364.00","1,360.20","1,344.47","1,417.50",930.55,8483610,"11,40,59,35,737.70",168454
04-Jun-19,EQ,"1,357.45","1,374.25","1,348.10","1,360.20","1,353.00","1,351.65","1,358.17","1,417.50",930.55,7059911,"9,58,85,61,364.55",167875
06-Jun-19,EQ,"1,361.90","1,361.90","1,321.10","1,351.65","1,326.15","1,327.35","1,335.47","1,417.50",930.55,7664319,"10,23,54,81,154.25",199549
07-Jun-19,EQ,"1,325.95","1,327.25","1,305.60","1,327.35","1,311.00","1,314.90","1,314.55","1,417.50",930.55,6730595,"8,84,76,72,552.55",180263
10-Jun-19,EQ,"1,320.90","1,327.00","1,310.10","1,314.90","1,320.50","1,319.15","1,319.50","1,417.50",940.3,5380148,"7,09,91,10,099.90",151279
11-Jun-19,EQ,"1,321.85","1,334.50","1,318.00","1,319.15","1,329.55","1,329.15","1,327.51","1,417.50",940.3,5253790,"6,97,44,48,670.10",136433
12-Jun-19,EQ,"1,334.70","1,338.40","1,325.00","1,329.15","1,333.20","1,332.15","1,332.57","1,417.50",940.3,4707716,"6,27,33,69,871.65",125940
13-Jun-19,EQ,"1,330.00","1,334.70","1,308.65","1,332.15","1,323.65","1,327.25","1,322.47","1,417.50",940.3,7171189,"9,48,36,84,624.55",190475
14-Jun-19,EQ,"1,321.90","1,325.00","1,309.40","1,327.25","1,320.00","1,317.55","1,316.01","1,417.50",940.3,6831331,"8,99,00,93,261.80",153945
17-Jun-19,EQ,"1,320.00","1,320.00","1,278.50","1,317.55","1,282.25","1,282.30","1,291.90","1,417.50",940.3,6815554,"8,80,50,27,720.80",180983
18-Jun-19,EQ,"1,278.90","1,287.95","1,269.10","1,282.30","1,278.50","1,281.00","1,279.90","1,417.50",940.3,7679193,"9,82,85,80,499.75",176329
19-Jun-19,EQ,"1,286.90","1,302.00","1,262.60","1,281.00","1,282.00","1,277.35","1,284.31","1,417.50",940.3,6625604,"8,50,93,22,279.65",179058
20-Jun-19,EQ,"1,280.00","1,300.00","1,278.00","1,277.35","1,299.90","1,296.75","1,288.38","1,417.50",940.3,4914012,"6,33,11,38,795.25",120935
21-Jun-19,EQ,"1,295.95","1,296.00","1,275.55","1,296.75","1,278.70","1,279.50","1,282.04","1,417.50",940.3,10623098,"13,61,91,85,209.45",153633
24-Jun-19,EQ,"1,272.15","1,276.45","1,257.10","1,279.50","1,261.85","1,262.40","1,264.03","1,417.50",940.3,5150998,"6,51,10,20,816.90",149137
25-Jun-19,EQ,"1,258.90","1,298.00","1,254.25","1,262.40","1,295.40","1,295.85","1,281.36","1,417.50",940.3,6842363,"8,76,75,10,682.55",157350
26-Jun-19,EQ,"1,291.00","1,304.60","1,286.35","1,295.85","1,291.90","1,294.15","1,295.88","1,417.50",940.3,5299942,"6,86,80,96,871.60",137376
27-Jun-19,EQ,"1,293.15","1,296.90","1,271.00","1,294.15","1,276.00","1,274.15","1,281.11","1,417.50",940.3,11385972,"14,58,66,56,140.85",213461
28-Jun-19,EQ,"1,277.10","1,282.85","1,248.65","1,274.15","1,254.00","1,253.10","1,261.89","1,417.50",940.3,8659721,"10,92,76,08,370.85",212372
01-Jul-19,EQ,"1,258.05","1,272.65","1,246.45","1,253.10","1,268.90","1,268.85","1,263.04","1,417.50",957,6162080,"7,78,29,45,942.60",145700
02-Jul-19,EQ,"1,273.95","1,281.00","1,263.30","1,268.85","1,279.00","1,278.50","1,272.92","1,417.50",957,4638751,"5,90,47,38,864.35",128065
03-Jul-19,EQ,"1,282.90","1,286.50","1,275.05","1,278.50","1,282.00","1,282.55","1,281.62","1,417.50",957,4026032,"5,15,98,34,855.00",144904
04-Jul-19,EQ,"1,281.40","1,291.00","1,280.00","1,282.55","1,284.00","1,284.00","1,285.90","1,417.50",957,4275148,"5,49,74,06,372.30",104947
05-Jul-19,EQ,"1,285.10","1,290.50","1,260.00","1,284.00","1,262.90","1,263.35","1,275.14","1,417.50",957,4995344,"6,36,97,48,471.75",128927
08-Jul-19,EQ,"1,258.00","1,268.10","1,248.20","1,263.35","1,252.50","1,252.05","1,256.53","1,417.50",983.5,6404544,"8,04,74,80,741.55",230442
09-Jul-19,EQ,"1,248.95","1,283.50","1,245.50","1,252.05","1,283.00","1,280.10","1,272.67","1,417.50",983.5,8016757,"10,20,26,49,425.75",190477
10-Jul-19,EQ,"1,280.05","1,289.35","1,268.70","1,280.10","1,277.10","1,278.85","1,277.53","1,417.50",983.5,5494315,"7,01,91,45,793.25",189719
11-Jul-19,EQ,"1,287.00","1,289.80","1,279.30","1,278.85","1,280.50","1,281.55","1,284.68","1,417.50",983.5,3935460,"5,05,58,15,447.80",135350
12-Jul-19,EQ,"1,283.00","1,300.00","1,278.05","1,281.55","1,278.55","1,280.50","1,292.37","1,417.50",983.5,7174054,"9,27,15,67,813.15",170857
15-Jul-19,EQ,"1,285.00","1,289.50","1,270.35","1,280.50","1,276.50","1,276.10","1,276.79","1,417.50","1,016.40",4873164,"6,22,19,97,657.85",115484
16-Jul-19,EQ,"1,279.95","1,294.90","1,277.05","1,276.10","1,292.10","1,293.00","1,285.92","1,417.50","1,016.40",4604019,"5,92,04,07,971.15",143941
17-Jul-19,EQ,"1,294.30","1,297.00","1,280.00","1,293.00","1,280.50","1,281.85","1,287.12","1,417.50","1,016.40",4334958,"5,57,95,97,026.25",125052
18-Jul-19,EQ,"1,282.00","1,286.40","1,258.00","1,281.85","1,264.90","1,261.85","1,269.25","1,417.50","1,016.40",5459896,"6,92,99,97,086.75",154201
19-Jul-19,EQ,"1,268.20","1,272.95","1,242.70","1,261.85","1,253.00","1,249.00","1,256.85","1,417.50","1,016.40",7468515,"9,38,67,68,752.40",218081
22-Jul-19,EQ,"1,251.00","1,284.50","1,227.30","1,249.00","1,278.10","1,280.50","1,262.08","1,417.50","1,016.40",13300153,"16,78,59,13,907.15",324798
23-Jul-19,EQ,"1,285.00","1,293.90","1,260.40","1,280.50","1,275.00","1,273.55","1,281.65","1,417.50","1,016.40",9287951,"11,90,38,64,962.00",231082
24-Jul-19,EQ,"1,273.50","1,278.80","1,253.55","1,273.55","1,260.00","1,259.10","1,261.14","1,417.50","1,016.40",6943982,"8,75,73,20,632.30",214822
25-Jul-19,EQ,"1,264.00","1,269.05","1,227.00","1,259.10","1,235.00","1,231.50","1,245.25","1,417.50","1,016.40",9968545,"12,41,33,40,499.80",224275
26-Jul-19,EQ,"1,231.50","1,242.50","1,210.00","1,231.50","1,217.00","1,213.80","1,222.79","1,417.50","1,016.40",9320481,"11,39,69,54,499.55",247585
29-Jul-19,EQ,"1,216.90","1,222.00","1,205.10","1,213.80","1,211.40","1,210.95","1,212.37","1,417.50","1,016.40",8058035,"9,76,92,88,352.70",209633
30-Jul-19,EQ,"1,213.95","1,220.00","1,175.95","1,210.95","1,177.60","1,180.90","1,199.24","1,417.50","1,016.40",9533344,"11,43,27,80,838.55",230470
31-Jul-19,EQ,"1,175.75","1,185.00","1,162.40","1,180.90","1,165.20","1,166.25","1,173.86","1,417.50","1,016.40",9705619,"11,39,30,35,591.95",291399
01-Aug-19,EQ,"1,163.40","1,188.20","1,150.35","1,166.25","1,185.75","1,180.25","1,163.85","1,417.50","1,016.40",10344862,"12,03,99,09,016.90",299918
02-Aug-19,EQ,"1,175.70","1,198.25","1,162.10","1,180.25","1,183.55","1,184.35","1,181.63","1,417.50","1,016.40",10865385,"12,83,88,63,669.00",279007
05-Aug-19,EQ,"1,167.00","1,167.00","1,128.00","1,184.35","1,141.00","1,143.35","1,143.81","1,417.50","1,016.40",13897461,"15,89,60,18,245.25",331944
06-Aug-19,EQ,"1,134.75","1,149.60","1,122.00","1,143.35","1,122.35","1,128.30","1,137.27","1,417.50","1,016.40",13288909,"15,11,30,39,872.55",313122
07-Aug-19,EQ,"1,126.50","1,138.55","1,103.10","1,128.30","1,104.40","1,109.40","1,118.77","1,417.50","1,016.40",11588879,"12,96,53,39,878.15",328317
08-Aug-19,EQ,"1,108.35","1,158.00","1,095.30","1,109.40","1,156.65","1,152.35","1,124.86","1,417.50","1,016.40",14262936,"16,04,38,24,121.40",296960
09-Aug-19,EQ,"1,161.85","1,175.50","1,152.30","1,152.35","1,161.00","1,162.10","1,166.33","1,417.50","1,016.40",10043949,"11,71,45,85,302.95",251552
13-Aug-19,EQ,"1,233.15","1,302.80","1,226.00","1,162.10","1,275.30","1,274.75","1,274.80","1,417.50","1,016.40",47923444,"61,09,29,01,703.60",855344
14-Aug-19,EQ,"1,304.00","1,304.45","1,280.35","1,274.75","1,288.00","1,288.25","1,292.12","1,417.50","1,016.40",14487137,"18,71,91,62,022.30",317664
16-Aug-19,EQ,"1,291.20","1,291.80","1,273.00","1,288.25","1,278.50","1,278.00","1,280.75","1,417.50","1,016.40",10047496,"12,86,83,58,693.55",274722
19-Aug-19,EQ,"1,281.05","1,296.80","1,280.00","1,278.00","1,290.00","1,292.60","1,289.52","1,417.50","1,016.40",7459859,"9,61,96,48,793.30",210583
20-Aug-19,EQ,"1,289.80","1,292.60","1,272.60","1,292.60","1,278.55","1,275.95","1,280.83","1,417.50","1,016.40",6843460,"8,76,52,76,621.40",167203
21-Aug-19,EQ,"1,275.65","1,278.65","1,266.50","1,275.95","1,271.05","1,270.95","1,271.42","1,417.50","1,016.40",4881553,"6,20,64,85,612.30",131602
22-Aug-19,EQ,"1,270.95","1,271.00","1,238.90","1,270.95","1,244.20","1,246.75","1,251.88","1,417.50","1,016.40",6414937,"8,03,07,48,574.15",178072
23-Aug-19,EQ,"1,239.00","1,284.00","1,226.50","1,246.75","1,276.00","1,275.85","1,258.18","1,417.50","1,016.40",9741262,"12,25,62,62,869.05",216956
26-Aug-19,EQ,"1,294.00","1,294.00","1,259.00","1,275.85","1,265.00","1,266.80","1,274.20","1,417.50","1,016.40",8778739,"11,18,58,73,443.45",238915
27-Aug-19,EQ,"1,285.00","1,285.00","1,261.20","1,266.80","1,274.35","1,274.85","1,272.49","1,417.50","1,016.40",12984396,"16,52,25,69,647.40",271002
28-Aug-19,EQ,"1,273.75","1,281.00","1,256.05","1,274.85","1,260.05","1,263.30","1,266.27","1,417.50","1,016.40",5305639,"6,71,83,93,214.85",132293
29-Aug-19,EQ,"1,256.45","1,260.25","1,235.30","1,263.30","1,242.05","1,241.75","1,247.45","1,417.50","1,016.40",8635974,"10,77,29,46,075.15",161172
